"","species","GRTS.Cell.ID","Quadrant","detection"
"658","EUMA",175354,"SW",NA
"659","EUMA",186330,"NE",NA
"660","EUMA",186330,"NW",NA
"661","EUMA",186490,"NW",NA
"662","EUMA",186490,"SW",NA
"663","EUMA",194666,"NE",NA
"664","EUMA",194666,"SE1",NA
"665","EUMA",194666,"SE2",NA
"666","EUMA",195242,"SE",NA
"667","EUMA",195242,"SE2",NA
"668","EUMA",195242,"SW",NA
"669","EUMA",195242,"SW2",NA
"670","EUMA",195242,"SW3",NA
"671","EUMA",206394,"NE",NA
"672","EUMA",206394,"NW",NA
"673","EUMA",206394,"SE",NA
"674","EUMA",206394,"SW",NA
"675","EUMA",212266,"NE",NA
"676","EUMA",212266,"NW",NA
"677","EUMA",212266,"SE","●"
"678","EUMA",212266,"SW","●"
"679","EUMA",212266,"Transects",NA
"680","EUMA",212906,"NW",NA
"681","EUMA",212906,"SE",NA
"682","EUMA",212906,"SW",NA
"683","EUMA",216746,"NW",NA
"684","EUMA",216746,"SE",NA
"685","EUMA",216746,"SW1",NA
"686","EUMA",216746,"SW2",NA
"687","EUMA",218282,"SE",NA
"688","EUMA",218282,"SW",NA
"689","EUMA",219626,"SW",NA
"690","EUMA",230186,"NE",NA
"691","EUMA",230186,"SE",NA
"692","EUMA",230186,"Transects",NA
"693","EUMA",241002,"NE",NA
"694","EUMA",241002,"NW",NA
"695","EUMA",241002,"Transects",NA
"696","EUMA",243562,"NE",NA
"697","EUMA",243562,"SE",NA
"698","EUMA",243562,"SW2",NA
"699","EUMA",252394,"NW",NA
"700","EUMA",265749,"NW",NA
"701","EUMA",265749,"SE",NA
"702","EUMA",265749,"SW",NA
"703","EUMA",268521,"NE",NA
"704","EUMA",268521,"NW",NA
"705","EUMA",268521,"SE",NA
"706","EUMA",268521,"Transects",NA
"707","EUMA",271731,"SE1",NA
"708","EUMA",271731,"SE2",NA
"709","EUMA",271731,"SW",NA
"710","EUMA",273050,"NE",NA
"711","EUMA",273050,"NE2",NA
"712","EUMA",273050,"SE1",NA
"713","EUMA",273050,"SE2",NA
"714","EUMA",283586,"NE",NA
"715","EUMA",283586,"NW",NA
"716","EUMA",283586,"SE",NA
"717","EUMA",283586,"SW",NA
"718","EUMA",294832,"NE",NA
"719","EUMA",294832,"NW",NA
"720","EUMA",294832,"SE",NA
"721","EUMA",294832,"SW",NA
"722","EUMA",294832,"Transects",NA
"723","EUMA",317428,"NE",NA
"724","EUMA",317428,"NW",NA
"725","EUMA",317428,"SE",NA
"726","EUMA",326072,"NW",NA
"727","EUMA",326072,"SW",NA
"728","EUMA",326072,"Transects",NA
"729","LABO",986,"NE","○"
"730","LABO",986,"SE","○"
"731","LABO",1194,"NW","○"
"732","LABO",1194,"SW2","○"
"733","LABO",5994,"NE","●"
"734","LABO",5994,"SE","●"
"735","LABO",6202,"NE",NA
"736","LABO",6202,"SW",NA
"737","LABO",9466,"NE",NA
"738","LABO",9466,"NW",NA
"739","LABO",9466,"SE",NA
"740","LABO",9466,"SW",NA
"741","LABO",9466,"Transects",NA
"742","LABO",12522,"NW",NA
"743","LABO",12522,"SE",NA
"744","LABO",16426,"NE","○"
"745","LABO",16426,"SE","○"
"746","LABO",17706,"NW",NA
